LoanAmount,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD,UPDATED STATE
64857,"ABCE'S CLOSET, LLC",5616 E Broadway Blvd,TUCSON,AK,85711,999990,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,15,5/1/2020,"JPMorgan Chase Bank, National Association",AZ-02,AZ
32500,ASSOCIATED ENTERPRISES INC,102-B BankPacific Bldg 166 W.Marine Dr,Dededo,AK,96929,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,5/1/2020,WebBank,GU-,GU
21752,LMK HOSPITALITY LLC,2408 E. 64th Ave.,ANCHORAGE,AK,99507,721110,Limited  Liability Company(LLC),Asian,Female Owned,Non-Veteran,,5,4/27/2020,"SouthTrust Bank, National Association",TX-15,
11497,IVEY WELCH DBA NONE,209 COSGROVE DRIVE,MOBILE,AK,36608,,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/1/2020,Hancock Whitney Bank,AL-01,AL
116795,HARRISON-BAUER CORPORATION,195 Clyde Ave,Jamestown,AL,14701,,,Unanswered,Unanswered,Unanswered,,35,5/1/2020,KeyBank National Association,NY-23,NY
83647.5,RED HEAD ENTERPRISES LLC,2699 Sandlin Rd #A-1,Decatur,AL,35607,561499,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,5/1/2020,Synovus Bank,,
58000,AMERICAN FLUID POWER INC,144 Reaser Ct,elyria,AL,44035,333517,,Unanswered,Unanswered,Unanswered,,6,5/1/2020,KeyBank National Association,OH-07,OH
52200,BRAXTON FAMILY L.L.C.,825 Harvey Rd Ne,Auburn,AL,98002,561499,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,5/1/2020,KeyBank National Association,WA-08,WA
48750,"JPM ENTERPRISES, LLC",404 Princetown Rd,Rotterdam,AL,12306,,,Unanswered,Unanswered,Unanswered,,11,5/1/2020,KeyBank National Association,NY-20,NY
44900,ST COLUMBA ROMAN CATHOLIC CHURCH,27 High Street,Chester,AL,10918,,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,10,5/1/2020,KeyBank National Association,NY-18,NY
38750,D &AMP; S HAIRCUTTERS INC.,4908 State Highway 30,Amsterdam,AL,12010,812112,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,5/1/2020,KeyBank National Association,NY-20,NY
26790,S. LEE PAKE DBA PAKE REALTY,2609 University Blvd,Tuscaloosa,AL,30240,,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,5,5/1/2020,Synovus Bank,GA-03,
21500,"DGM HAIRCUTTERS, INC",1879 Altamont Ave,Rotterdam,AL,12303,812112,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,5/1/2020,KeyBank National Association,NY-20,NY
20879.82,"ROSEMARIE CAILLIER, DPM, PC",2002 McFarland Blvd. Suite 207,Tuscaloosa,AL,65404,621391,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,5/1/2020,Synovus Bank,,
